项目审查要点分析表,,,
说明：标黄内容需人工审查，其他内容可过计算机辅助,,,
序号,项目阶段,审查文档,审查要点
51,,,合同中是否明确产品/服务的详细信息
52,,,合同中设备清单的设备品牌、型号、规格、参数、数量等必须与投标文件一致。
53,,,投标文件技术偏离表中正偏离内容是否在合同中明确
54,,,检查采购合同单独表述内容是否与采购文件、投标（响应）文件、现场承诺资料相关内容是否一致
55,,,合同中付款方式是否与采购文件中一致
56,,,合同主要条款是否与采购文件中合同条款要求一致
57,,,核查是否存在签订续签或补充合同不合规的问题
58,实施阶段,变更单,过程中是否发生变更
59,,,过程变更手续是否规范（是否有建设单位签字、盖章）
60,,,变更金额是否符合规定，不超过原合同的10%
61,,,如有延期，延期手续是否完整规范
62,,实施过程资料,实施过程中的管理及各环节控制是否符合招标要求和合同约定
63,,,定制开发软件项目是否有开发过程文档
64,,,项目实际运行效果是否满足使用需求
65,,,承建单位文档是否完整、规范
66,,监理情况,项目是否实行工程监理制
67,,,监理文档是否完整、规范
68,,,监理资料与承接资料逻辑是否吻合
69,,等保密评,检查含重要网络与信息系统的信息化项目是否通过等保和密码应用安全性评估并取得报告
70,,,检查报告中未整改的中低风险是否提交相关整改情况说明
71,,,检查报告内容是否与项目建设内容保持一致
72,,支付文件,支付项目款(是否有审批手续)
73,,,支付项目到货款（支付时间、比例，是否符合合同规定）
74,验收阶段,验收文档,验收方法和程序是否规范
75,,,验收时间是否与合同约定的完工日期一致
76,,,验收手续是否完整、规范
77,,,是否按招标要求、投标响应、合同约定完成了项目建设
78,,,项目实际运行效果是否满足使用需求
79,,,检查软件定制开发项目经办部门、重要业务部门或基层部门是否出具用户使用意见（用户报告）
80,,支付文件,支付验收款（审批手续、支付时间、比例，是否符合合同规定）
81,后期阶段,结算报告,是否进行了结算审计
82,,,是否按照合同约定提供了结算明细资料
83,,,结算金额是否符合合同约定；合同外的增项，金额是否不高于市场平均水平
84,,国有资产录入,检查国有资产管理系统信息录入信息的完整性和准确性，是否按系统信息要求录入，录入信息与合同、验收资料、发票是否一致
85,,运维,检查项目承接单位是否按照合同约定提供运行维护或技术服务。
86,,,检查项目运维期成果文件是否齐全，人员资质、服务频次、服务范围等是否与合同约定一致。
